tract,iou,alignment,recurrence_score,image_group,initial_label,label_spread_prediction
tract_3,0.0,0.997,0.0,30_269_301,-1,0
tract_4,0.0,0.284,0.0,30_269_301,-1,0
tract_5,0.0,0.957,0.0,30_269_301,-1,0
tract_6,0.0,0.124,0.0,30_269_301,-1,0
tract_7,0.0,0.949,0.0,30_269_301,-1,0
tract_8,0.0,0.094,0.0,30_269_301,-1,0
tract_1,0.0,0.086,0.82,30_277_369,0,0
tract_2,0.0,0.15,0.06,30_277_369,0,0
tract_3,0.0,0.199,0.88,30_277_369,0,0
tract_4,0.0,0.877,5.51,30_277_369,0,0
tract_5,0.0,0.105,20.95,30_277_369,1,1
tract_6,0.0,0.026,47.06,30_277_369,1,1
tract_7,0.0,0.029,19.66,30_277_369,1,1
tract_8,0.0,0.992,5.07,30_277_369,0,0
tract_1,0.0,0.805,2.45,30_281_443,0,0
tract_2,0.0,0.294,5.66,30_281_443,0,0
tract_3,0.0,0.617,23.11,30_281_443,1,1
tract_4,0.288,0.927,37.82,30_281_443,1,1
tract_5,0.0,0.663,22.34,30_281_443,1,1
tract_6,0.001,0.125,6.0,30_281_443,0,0
tract_7,0.0,0.717,2.46,30_281_443,0,0
tract_8,0.0,0.719,0.17,30_281_443,0,0
tract_1,0.0,0.732,0.0,30_329_336,0,0
tract_2,0.0,0.286,0.0,30_329_336,0,0
tract_3,0.0,0.521,0.0,30_329_336,0,0
tract_4,0.0,0.968,0.0,30_329_336,0,0
tract_5,0.0,0.576,23.89,30_329_336,1,1
tract_6,0.005,0.017,53.68,30_329_336,1,1
tract_7,0.0,0.637,22.43,30_329_336,1,1
tract_8,0.0,0.796,0.0,30_329_336,0,0
tract_1,0.0,0.925,0.75,30_331_399,-1,0
tract_2,0.0,0.297,0.05,30_331_399,-1,0
tract_3,0.0,0.799,1.62,30_331_399,-1,0
tract_4,0.024,0.811,10.11,30_331_399,-1,0
tract_5,0.015,0.828,21.87,30_331_399,-1,1
tract_6,0.235,0.959,43.0,30_331_399,-1,1
tract_7,0.0,0.86,17.97,30_331_399,-1,1
tract_8,0.0,0.515,4.63,30_331_399,-1,0
tract_1,0.0,0.827,11.41,30_343_218,-1,1
tract_2,0.0,0.157,1.9,30_343_218,-1,0
tract_3,0.0,0.956,0.76,30_343_218,-1,0
tract_4,0.0,0.011,0.71,30_343_218,-1,0
tract_5,0.0,0.893,6.46,30_343_218,-1,0
tract_6,0.0,0.142,14.49,30_343_218,-1,1
tract_7,0.117,0.84,34.68,30_343_218,-1,1
tract_8,0.028,0.286,29.59,30_343_218,-1,1
tract_1,0.0,0.461,0.0,30_359_381,-1,0
tract_2,0.0,0.239,0.0,30_359_381,-1,0
tract_3,0.0,0.197,0.0,30_359_381,-1,0
tract_4,0.0,0.994,0.0,30_359_381,-1,0
tract_5,0.0,0.275,23.89,30_359_381,-1,1
tract_6,0.09,0.511,53.68,30_359_381,-1,1
tract_7,0.0,0.348,22.43,30_359_381,-1,1
tract_8,0.0,0.954,0.0,30_359_381,-1,0
tract_1,0.0,0.148,10.84,30_362_188,0,0
tract_2,0.0,0.085,1.8,30_362_188,0,0
tract_3,0.0,0.423,0.72,30_362_188,0,0
tract_4,0.0,0.74,0.74,30_362_188,0,0
tract_5,0.0,0.327,6.71,30_362_188,0,0
tract_6,0.0,0.076,15.06,30_362_188,1,1
tract_7,0.043,0.181,36.04,30_362_188,1,1
tract_8,0.007,0.927,28.09,30_362_188,1,1
tract_1,0.0,0.902,0.0,30_364_501,-1,0
tract_2,0.0,0.196,0.0,30_364_501,-1,0
tract_3,0.0,0.989,0.0,30_364_501,-1,0
tract_4,0.0,0.17,0.0,30_364_501,-1,0
tract_5,0.222,0.859,61.3,30_364_501,-1,1
tract_6,0.0,0.199,27.29,30_364_501,-1,1
tract_7,0.0,0.922,11.41,30_364_501,-1,1
tract_8,0.0,0.222,0.0,30_364_501,-1,0
tract_1,0.0,0.932,0.0,30_365_310,0,0
tract_2,0.0,0.297,0.0,30_365_310,0,0
tract_3,0.0,0.812,0.0,30_365_310,0,0
tract_4,0.0,0.794,0.0,30_365_310,0,0
tract_5,0.0,0.831,23.89,30_365_310,1,1
tract_6,0.04,0.269,53.68,30_365_310,1,1
tract_7,0.0,0.869,22.43,30_365_310,1,1
tract_8,0.0,0.497,0.0,30_365_310,0,0
tract_1,0.0,0.916,0.0,30_371_371,0,0
tract_2,0.0,0.204,0.0,30_371_371,0,0
tract_3,0.0,0.993,0.0,30_371_371,0,0
tract_4,0.0,0.205,0.0,30_371_371,0,0
tract_5,0.0,0.946,23.89,30_371_371,1,1
tract_6,0.02,0.136,53.68,30_371_371,1,1
tract_7,0.0,0.932,22.43,30_371_371,1,1
tract_8,0.0,0.188,0.0,30_371_371,0,0
tract_1,0.0,0.304,0.0,30_378_418,-1,0
tract_2,0.0,0.038,0.0,30_378_418,-1,0
tract_3,0.0,0.564,0.0,30_378_418,-1,0
tract_4,0.0,0.621,0.0,30_378_418,-1,0
tract_5,0.029,0.493,53.1,30_378_418,-1,1
tract_6,0.007,0.119,37.01,30_378_418,-1,1
tract_7,0.0,0.402,9.89,30_378_418,-1,0
tract_8,0.0,0.874,0.0,30_378_418,-1,0
tract_1,0.0,0.051,0.0,30_378_482,-1,0
tract_2,0.0,0.113,0.0,30_378_482,-1,0
tract_3,0.0,0.332,0.0,30_378_482,-1,0
tract_4,0.0,0.802,0.0,30_378_482,-1,0
tract_5,0.01,0.07,61.3,30_378_482,-1,1
tract_6,0.0,0.057,27.29,30_378_482,-1,1
tract_7,0.0,0.162,11.41,30_378_482,-1,1
tract_8,0.0,0.969,0.0,30_378_482,-1,0
tract_1,0.0,0.887,0.0,30_381_295,-1,0
tract_2,0.0,0.299,0.0,30_381_295,-1,0
tract_3,0.0,0.737,0.0,30_381_295,-1,0
tract_4,0.0,0.861,0.0,30_381_295,-1,0
tract_5,0.0,0.767,23.89,30_381_295,-1,1
tract_6,0.023,0.297,53.68,30_381_295,-1,1
tract_7,0.0,0.813,22.43,30_381_295,-1,1
tract_8,0.0,0.597,0.0,30_381_295,-1,0
tract_1,0.0,0.446,0.0,30_387_426,0,0
tract_2,0.0,0.236,0.0,30_387_426,0,0
tract_3,0.0,0.18,0.0,30_387_426,0,0
tract_4,0.0,0.992,0.0,30_387_426,0,0
tract_5,0.016,0.27,56.63,30_387_426,1,1
tract_6,0.002,0.062,32.83,30_387_426,1,1
tract_7,0.0,0.333,10.54,30_387_426,1,1
tract_8,0.0,0.959,0.0,30_387_426,0,0
tract_1,0.0,0.738,20.47,31_206_386,-1,1
tract_2,0.183,0.784,47.48,31_206_386,-1,1
tract_3,0.0,0.528,19.04,31_206_386,-1,1
tract_4,0.004,0.969,5.69,31_206_386,-1,0
tract_5,0.0,0.582,0.82,31_206_386,-1,0
tract_6,0.0,0.117,0.06,31_206_386,-1,0
tract_7,0.0,0.642,0.92,31_206_386,-1,0
tract_8,0.0,0.791,5.52,31_206_386,-1,0
tract_1,0.0,0.582,23.53,31_209_308,-1,1
tract_2,0.044,0.194,54.58,31_209_308,-1,1
tract_3,0.0,0.336,21.89,31_209_308,-1,1
tract_4,0.0,0.998,0.0,31_209_308,-1,0
tract_5,0.0,0.406,0.0,31_209_308,-1,0
tract_6,0.0,0.079,0.0,31_209_308,-1,0
tract_7,0.0,0.475,0.0,31_209_308,-1,0
tract_8,0.0,0.903,0.0,31_209_308,-1,0
tract_1,0.0,0.8,6.94,31_210_509,0,0
tract_2,0.0,0.145,16.06,31_210_509,1,1
tract_3,0.102,0.943,40.05,31_210_509,1,1
tract_4,0.002,0.031,25.08,31_210_509,1,1
tract_5,0.0,0.875,9.05,31_210_509,0,0
tract_6,0.0,0.187,1.45,31_210_509,0,0
tract_7,0.0,0.843,0.61,31_210_509,0,0
tract_8,0.0,0.419,0.75,31_210_509,0,0
tract_1,0.0,0.986,18.25,31_220_252,-1,1
tract_2,0.055,0.403,25.74,31_220_252,-1,1
tract_3,0.0,0.959,1.98,31_220_252,-1,0
tract_4,0.0,0.546,0.14,31_220_252,-1,0
tract_5,0.0,0.945,2.07,31_220_252,-1,0
tract_6,0.0,0.198,4.64,31_220_252,-1,0
tract_7,0.0,0.959,18.0,31_220_252,-1,1
tract_8,0.077,0.348,29.18,31_220_252,-1,1
tract_1,0.0,0.614,2.35,31_231_427,-1,0
tract_2,0.02,0.328,9.3,31_231_427,-1,0
tract_3,0.0,0.374,22.25,31_231_427,-1,1
tract_4,0.186,0.978,36.41,31_231_427,-1,1
tract_5,0.0,0.441,21.5,31_231_427,-1,1
tract_6,0.0,0.086,5.65,31_231_427,-1,0
tract_7,0.0,0.508,2.36,31_231_427,-1,0
tract_8,0.0,0.884,0.16,31_231_427,-1,0
tract_1,0.0,0.314,2.37,31_240_422,-1,0
tract_2,0.014,0.265,8.62,31_240_422,-1,0
tract_3,0.0,0.036,22.42,31_240_422,-1,1
tract_4,0.167,0.868,36.68,31_240_422,-1,1
tract_5,0.0,0.123,21.66,31_240_422,-1,1
tract_6,0.0,0.019,5.7,31_240_422,-1,0
tract_7,0.0,0.198,2.38,31_240_422,-1,0
tract_8,0.0,0.989,0.16,31_240_422,-1,0
tract_1,0.088,0.955,30.64,31_255_200,-1,1
tract_2,0.0,0.289,13.21,31_255_200,-1,0
tract_3,0.0,0.848,5.31,31_255_200,-1,0
tract_4,0.0,0.752,0.56,31_255_200,-1,0
tract_5,0.0,0.861,0.94,31_255_200,-1,0
tract_6,0.0,0.178,2.12,31_255_200,-1,0
tract_7,0.0,0.895,13.15,31_255_200,-1,0
tract_8,0.043,0.243,34.08,31_255_200,-1,1
tract_1,0.0,0.066,21.08,31_256_245,1,1
tract_2,0.004,0.103,14.23,31_256_245,0,0
tract_3,0.0,0.346,2.28,31_256_245,0,0
tract_4,0.0,0.794,0.16,31_256_245,0,0
tract_5,0.0,0.25,2.39,31_256_245,0,0
tract_6,0.0,0.06,5.36,31_256_245,0,0
tract_7,0.0,0.176,20.79,31_256_245,1,1
tract_8,0.016,0.045,33.71,31_256_245,1,1
tract_1,0.0,0.843,2.42,31_259_411,0,0
tract_2,0.004,0.337,6.9,31_259_411,0,0
tract_3,0.0,0.671,22.84,31_259_411,1,1
tract_4,0.118,0.946,37.38,31_259_411,1,1
tract_5,0.0,0.71,22.07,31_259_411,1,1
tract_6,0.0,0.142,5.8,31_259_411,0,0
tract_7,0.0,0.761,2.43,31_259_411,0,0
tract_8,0.0,0.669,0.16,31_259_411,0,0
tract_1,0.0,0.645,22.65,31_263_292,-1,1
tract_2,0.001,0.057,7.86,31_263_292,-1,0
tract_3,0.0,0.84,2.45,31_263_292,-1,0
tract_4,0.0,0.268,0.17,31_263_292,-1,0
tract_5,0.0,0.759,2.57,31_263_292,-1,0
tract_6,0.0,0.158,5.76,31_263_292,-1,0
tract_7,0.0,0.712,22.34,31_263_292,-1,1
tract_8,0.016,0.548,36.21,31_263_292,-1,1
tract_1,0.0,0.953,2.43,31_275_411,0,0
tract_2,0.0,0.294,5.62,31_275_411,0,0
tract_3,0.0,0.851,22.94,31_275_411,1,1
tract_4,0.082,0.781,37.54,31_275_411,1,1
tract_5,0.0,0.864,22.17,31_275_411,1,1
tract_6,0.002,0.147,6.7,31_275_411,0,0
tract_7,0.0,0.897,2.44,31_275_411,0,0
tract_8,0.0,0.434,0.17,31_275_411,0,0
tract_1,0.0,0.249,0.0,31_275_526,-1,0
tract_2,0.0,0.191,0.0,31_275_526,-1,0
tract_3,0.0,0.032,0.0,31_275_526,-1,0
tract_4,0.0,0.945,0.0,31_275_526,-1,0
tract_5,0.0,0.058,0.0,31_275_526,-1,0
tract_6,0.0,0.005,0.0,31_275_526,-1,0
tract_7,0.0,0.134,0.0,31_275_526,-1,0
tract_8,0.0,0.995,0.0,31_275_526,-1,0
tract_1,0.0,0.257,2.45,31_277_480,0,0
tract_2,0.0,0.052,5.67,31_277_480,0,0
tract_3,0.0,0.523,23.14,31_277_480,1,1
tract_4,0.117,0.679,37.87,31_277_480,1,1
tract_5,0.0,0.427,22.36,31_277_480,1,1
tract_6,0.0,0.096,5.88,31_277_480,0,0
tract_7,0.0,0.359,2.46,31_277_480,0,0
tract_8,0.0,0.897,0.17,31_277_480,0,0
tract_1,0.0,0.854,22.56,31_286_242,-1,1
tract_2,0.0,0.17,6.08,31_286_242,-1,0
tract_3,0.0,0.97,2.44,31_286_242,-1,0
tract_4,0.0,0.062,0.18,31_286_242,-1,0
tract_5,0.0,0.911,2.67,31_286_242,-1,0
tract_6,0.006,0.197,6.7,31_286_242,-1,0
tract_7,0.009,0.889,23.29,31_286_242,-1,1
tract_8,0.316,0.843,36.07,31_286_242,-1,1
tract_1,0.0,0.529,2.36,31_299_435,-1,0
tract_2,0.0,0.252,5.47,31_299_435,-1,0
tract_3,0.0,0.274,22.32,31_299_435,-1,1
tract_4,0.261,0.994,36.52,31_299_435,-1,1
tract_5,0.017,0.4,23.96,31_299_435,-1,1
tract_6,0.002,0.055,6.56,31_299_435,-1,0
tract_7,0.0,0.419,2.63,31_299_435,-1,0
tract_8,0.0,0.928,0.18,31_299_435,-1,0
tract_1,0.0,0.926,2.19,31_301_443,-1,0
tract_2,0.0,0.297,5.08,31_301_443,-1,0
tract_3,0.0,0.801,20.74,31_301_443,-1,1
tract_4,0.203,0.721,33.94,31_301_443,-1,1
tract_5,0.043,0.845,27.27,31_301_443,-1,1
tract_6,0.002,0.143,7.57,31_301_443,-1,0
tract_7,0.0,0.861,3.0,31_301_443,-1,0
tract_8,0.0,0.514,0.2,31_301_443,-1,0
tract_1,0.0,0.106,0.0,31_302_384,-1,0
tract_2,0.0,0.097,0.0,31_302_384,-1,0
tract_3,0.0,0.385,0.0,31_302_384,-1,0
tract_4,0.0,0.766,0.0,31_302_384,-1,0
tract_5,0.0,0.288,23.89,31_302_384,-1,1
tract_6,0.009,0.065,53.68,31_302_384,-1,1
tract_7,0.0,0.215,22.43,31_302_384,-1,1
tract_8,0.0,0.954,0.0,31_302_384,-1,0
tract_1,0.0,0.371,0.0,31_305_526,0,0
tract_2,0.0,0.016,0.0,31_305_526,0,0
tract_3,0.0,0.622,0.0,31_305_526,0,0
tract_4,0.0,0.563,0.0,31_305_526,0,0
tract_5,0.041,0.544,61.3,31_305_526,1,1
tract_6,0.0,0.117,27.29,31_305_526,1,1
tract_7,0.0,0.465,11.41,31_305_526,1,1
tract_8,0.0,0.837,0.0,31_305_526,0,0
tract_1,0.0,0.049,15.77,31_310_177,-1,1
tract_2,0.0,0.114,4.25,31_310_177,-1,0
tract_3,0.0,0.33,1.71,31_310_177,-1,0
tract_4,0.0,0.804,0.3,31_310_177,-1,0
tract_5,0.0,0.234,4.41,31_310_177,-1,0
tract_6,0.0,0.056,9.91,31_310_177,-1,0
tract_7,0.037,0.126,38.43,31_310_177,-1,1
tract_8,0.041,0.956,25.22,31_310_177,-1,1
tract_1,0.0,0.498,0.55,31_346_510,-1,0
tract_2,0.0,0.246,1.27,31_346_510,-1,0
tract_3,0.0,0.239,8.75,31_346_510,-1,0
tract_4,0.006,0.998,24.25,31_346_510,-1,1
tract_5,0.234,0.662,39.45,31_346_510,-1,1
tract_6,0.0,0.06,17.56,31_346_510,-1,1
tract_7,0.0,0.387,7.34,31_346_510,-1,0
tract_8,0.0,0.94,0.84,31_346_510,-1,0
tract_1,0.0,0.287,13.66,31_349_195,-1,0
tract_2,0.0,0.2,2.27,31_349_195,-1,0
tract_3,0.0,0.008,0.91,31_349_195,-1,0
tract_4,0.0,0.957,0.6,31_349_195,-1,0
tract_5,0.0,0.096,5.47,31_349_195,-1,0
tract_6,0.0,0.013,12.28,31_349_195,-1,0
tract_7,0.06,0.227,29.39,31_349_195,-1,1
tract_8,0.036,0.998,35.41,31_349_195,-1,1
tract_1,0.0,0.469,0.58,31_351_495,0,0
tract_2,0.0,0.016,1.35,31_351_495,0,0
tract_3,0.0,0.704,9.31,31_351_495,0,0
tract_4,0.009,0.48,25.81,31_351_495,1,1
tract_5,0.1,0.253,38.09,31_351_495,1,1
tract_6,0.0,0.135,16.96,31_351_495,1,1
tract_7,0.0,0.555,7.09,31_351_495,0,0
tract_8,0.0,0.772,0.81,31_351_495,0,0
tract_1,0.0,0.753,21.56,31_356_252,-1,1
tract_2,0.0,0.124,5.81,31_356_252,-1,0
tract_3,0.0,0.913,2.33,31_356_252,-1,0
tract_4,0.0,0.115,0.17,31_356_252,-1,0
tract_5,0.0,0.842,2.44,31_356_252,-1,0
tract_6,0.004,0.032,11.96,31_356_252,-1,0
tract_7,0.0,0.804,21.26,31_356_252,-1,1
tract_8,0.02,0.33,34.47,31_356_252,-1,1
tract_1,0.0,0.561,23.53,32_208_322,1,1
tract_2,0.01,0.039,54.58,32_208_322,1,1
tract_3,0.0,0.777,21.89,32_208_322,1,1
tract_4,0.0,0.369,0.0,32_208_322,0,0
tract_5,0.0,0.691,0.0,32_208_322,0,0
tract_6,0.0,0.151,0.0,32_208_322,0,0
tract_7,0.0,0.638,0.0,32_208_322,0,0
tract_8,0.0,0.698,0.0,32_208_322,0,0
tract_1,0.0,0.854,3.14,32_213_466,0,0
tract_2,0.0,0.298,7.27,32_213_466,0,0
tract_3,0.068,0.7,29.66,32_213_466,1,1
tract_4,0.237,0.913,33.02,32_213_466,1,1
tract_5,0.0,0.724,19.5,32_213_466,1,1
tract_6,0.0,0.148,5.13,32_213_466,0,0
tract_7,0.0,0.774,2.14,32_213_466,0,0
tract_8,0.0,0.653,0.15,32_213_466,0,0
tract_1,0.0,0.966,22.62,32_249_246,-1,1
tract_2,0.015,0.359,7.94,32_249_246,-1,0
tract_3,0.0,0.882,2.45,32_249_246,-1,0
tract_4,0.0,0.705,0.17,32_249_246,-1,0
tract_5,0.0,0.889,2.56,32_249_246,-1,0
tract_6,0.0,0.184,5.75,32_249_246,-1,0
tract_7,0.0,0.917,22.32,32_249_246,-1,1
tract_8,0.3,0.985,36.18,32_249_246,-1,1
tract_1,0.0,0.891,2.44,32_259_442,0,0
tract_2,0.002,0.307,5.89,32_259_442,0,0
tract_3,0.0,0.743,23.09,32_259_442,1,1
tract_4,0.266,0.905,37.78,32_259_442,1,1
tract_5,0.0,0.773,22.31,32_259_442,1,1
tract_6,0.0,0.158,5.87,32_259_442,0,0
tract_7,0.0,0.818,2.45,32_259_442,0,0
tract_8,0.0,0.59,0.17,32_259_442,0,0
tract_1,0.0,0.609,0.0,32_267_380,-1,0
tract_2,0.0,0.089,0.0,32_267_380,-1,0
tract_3,0.0,0.813,0.0,32_267_380,-1,0
tract_4,0.0,0.313,0.0,32_267_380,-1,0
tract_5,0.0,0.73,23.89,32_267_380,-1,1
tract_6,0.001,0.147,53.68,32_267_380,-1,1
tract_7,0.0,0.68,22.43,32_267_380,-1,1
tract_8,0.0,0.654,0.0,32_267_380,-1,0
tract_1,0.0,0.319,0.0,32_273_355,-1,0
tract_2,0.0,0.033,0.0,32_273_355,-1,0
tract_3,0.0,0.577,0.0,32_273_355,-1,0
tract_4,0.0,0.609,0.0,32_273_355,-1,0
tract_5,0.0,0.482,23.89,32_273_355,-1,1
tract_6,0.005,0.15,53.68,32_273_355,-1,1
tract_7,0.0,0.416,22.43,32_273_355,-1,1
tract_8,0.0,0.866,0.0,32_273_355,-1,0
tract_1,0.0,0.495,2.44,32_281_420,0,0
tract_2,0.0,0.246,5.66,32_281_420,0,0
tract_3,0.0,0.236,23.09,32_281_420,1,1
tract_4,0.189,0.984,37.79,32_281_420,1,1
tract_5,0.0,0.314,22.32,32_281_420,1,1
tract_6,0.001,0.044,6.08,32_281_420,0,0
tract_7,0.0,0.384,2.45,32_281_420,0,0
tract_8,0.0,0.942,0.17,32_281_420,0,0
tract_1,0.0,0.077,0.0,32_283_371,0,0
tract_2,0.0,0.106,0.0,32_283_371,0,0
tract_3,0.0,0.357,0.0,32_283_371,0,0
tract_4,0.0,0.787,0.0,32_283_371,0,0
tract_5,0.0,0.26,23.89,32_283_371,1,1
tract_6,0.001,0.012,53.68,32_283_371,1,1
tract_7,0.0,0.187,22.43,32_283_371,1,1
tract_8,0.0,0.962,0.0,32_283_371,0,0
tract_1,0.0,0.878,0.0,32_307_532,-1,0
tract_2,0.0,0.298,0.0,32_307_532,-1,0
tract_3,0.0,0.723,0.0,32_307_532,-1,0
tract_4,0.0,0.871,0.0,32_307_532,-1,0
tract_5,0.096,0.743,61.3,32_307_532,-1,1
tract_6,0.0,0.155,27.29,32_307_532,-1,1
tract_7,0.0,0.802,11.41,32_307_532,-1,1
tract_8,0.0,0.613,0.0,32_307_532,-1,0
tract_1,0.0,0.958,11.58,32_314_193,-1,0
tract_2,0.0,0.293,1.93,32_314_193,-1,0
tract_3,0.0,0.862,0.77,32_314_193,-1,0
tract_4,0.0,0.734,0.7,32_314_193,-1,0
tract_5,0.0,0.872,6.38,32_314_193,-1,0
tract_6,0.0,0.181,14.33,32_314_193,-1,1
tract_7,0.234,0.876,34.28,32_314_193,-1,1
tract_8,0.061,0.438,30.03,32_314_193,-1,1
tract_1,0.0,0.896,0.0,32_319_317,0,0
tract_2,0.0,0.299,0.0,32_319_317,0,0
tract_3,0.0,0.751,0.0,32_319_317,0,0
tract_4,0.0,0.85,0.0,32_319_317,0,0
tract_5,0.0,0.779,23.89,32_319_317,1,1
tract_6,0.022,0.084,53.68,32_319_317,1,1
tract_7,0.0,0.824,22.43,32_319_317,1,1
tract_8,0.0,0.58,0.0,32_319_317,0,0
tract_1,0.0,0.635,21.05,32_335_272,1,1
tract_2,0.0,0.077,5.68,32_335_272,0,0
tract_3,0.0,0.832,2.28,32_335_272,0,0
tract_4,0.0,0.281,0.16,32_335_272,0,0
tract_5,0.0,0.751,2.38,32_335_272,0,0
tract_6,0.012,0.044,14.03,32_335_272,0,0
tract_7,0.0,0.703,20.76,32_335_272,1,1
tract_8,0.045,0.548,33.66,32_335_272,1,1
tract_1,0.0,0.716,13.27,32_342_206,-1,0
tract_2,0.0,0.284,2.21,32_342_206,-1,0
tract_3,0.0,0.5,0.89,32_342_206,-1,0
tract_4,0.0,0.974,0.62,32_342_206,-1,0
tract_5,0.0,0.556,5.64,32_342_206,-1,0
tract_6,0.0,0.111,12.67,32_342_206,-1,0
tract_7,0.142,0.596,30.32,32_342_206,-1,1
tract_8,0.073,0.843,34.39,32_342_206,-1,1
tract_1,0.0,0.841,0.48,32_346_423,-1,0
tract_2,0.0,0.164,1.11,32_346_423,-1,0
tract_3,0.0,0.963,7.69,32_346_423,-1,0
tract_4,0.002,0.042,21.32,32_346_423,-1,1
tract_5,0.148,0.916,35.33,32_346_423,-1,1
tract_6,0.046,0.385,26.73,32_346_423,-1,1
tract_7,0.0,0.876,6.58,32_346_423,-1,0
tract_8,0.0,0.351,0.76,32_346_423,-1,0
tract_1,0.0,0.212,0.59,32_349_516,-1,0
tract_2,0.0,0.066,1.38,32_349_516,-1,0
tract_3,0.0,0.482,9.51,32_349_516,-1,0
tract_4,0.001,0.696,26.36,32_349_516,-1,1
tract_5,0.011,0.03,37.61,32_349_516,-1,1
tract_6,0.0,0.088,16.74,32_349_516,-1,1
tract_7,0.0,0.316,7.0,32_349_516,-1,0
tract_8,0.0,0.916,0.8,32_349_516,-1,0
tract_1,0.0,0.983,22.7,32_356_279,-1,1
tract_2,0.0,0.26,6.12,32_356_279,-1,0
tract_3,0.0,0.974,2.46,32_356_279,-1,0
tract_4,0.0,0.491,0.17,32_356_279,-1,0
tract_5,0.0,0.955,2.57,32_356_279,-1,0
tract_6,0.0,0.001,7.3,32_356_279,-1,0
tract_7,0.0,0.964,22.39,32_356_279,-1,1
tract_8,0.006,0.201,36.29,32_356_279,-1,1
tract_1,0.0,0.977,0.0,32_365_258,-1,0
tract_2,0.0,0.25,0.0,32_365_258,-1,0
tract_3,0.0,0.986,0.0,32_365_258,-1,0
tract_4,0.0,0.435,0.0,32_365_258,-1,0
tract_5,0.0,0.96,23.89,32_365_258,-1,1
tract_6,0.015,0.155,53.68,32_365_258,-1,1
tract_7,0.0,0.964,22.43,32_365_258,-1,1
tract_8,0.0,0.095,0.0,32_365_258,-1,0
tract_1,0.0,0.865,0.0,32_373_176,-1,0
tract_2,0.0,0.298,0.0,32_373_176,-1,0
tract_3,0.0,0.703,0.0,32_373_176,-1,0
tract_4,0.0,0.884,0.0,32_373_176,-1,0
tract_5,0.0,0.738,11.61,32_373_176,-1,1
tract_6,0.0,0.151,26.05,32_373_176,-1,1
tract_7,0.151,0.786,62.34,32_373_176,-1,1
tract_8,0.0,0.636,0.0,32_373_176,-1,0
